,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
18,2577,2023-07-10 00:42:14.214247+00:00,,t,"T2R, ascending, intersegmental",8B,73961674910386311,648518346496329789,[ 56328 123392   3151]
19,2574,2023-07-10 00:42:14.211204+00:00,,t,"T2L, ascending, intersegmental",8B,72624668771251736,648518346474435437,[ 18216 124872   3205]
20,2633,2023-07-22 01:04:00.161111+00:00,,t,"T1L, local",14A,73468062976012744,648518346482930729,[42816 92288  3235]
21,2685,2024-01-31 04:45:37.957509+00:00,,t,fragment,fragment,73822311408752442,648518346506264657,[ 51515 163997   2353]
22,2609,2023-07-22 01:03:59.648310+00:00,,t,"T1R, ascending, intersegmental",8B,73538431451557726,648518346466210608,[43448 93424  2714]
23,2592,2023-07-22 01:03:59.296749+00:00,,t,"T3L, ascending, intersegmental",8B,73259978924319888,648518346501459811,[ 35752 182712    515]
24,2598,2023-07-22 01:03:59.424771+00:00,,t,"T3L, ascending, intersegmental",8B,73893228969444254,648518346486977761,[ 53768 181424    636]
25,2619,2023-07-22 01:03:59.855869+00:00,,t,"T1L, local",12B,73398587719411182,648518346479677888,[ 39806 119438   3593]
26,2617,2023-07-22 01:03:59.815034+00:00,,t,"T1L, local",12B,73398656505894708,648518346517586756,[ 39128 122224   3665]
27,2573,2023-05-31 05:45:00.741538+00:00,,t,"T1L, ascending, intersegmental",unknown,72975344126517357,648518346491656902,[28501 88959  2905]
28,2583,2023-07-10 00:42:14.220230+00:00,,t,"T2B, intersegmental",0A/0B,72976168559104408,648518346486714244,[ 28385 113523   2555]
29,2578,2023-07-10 00:42:14.215223+00:00,,t,"T1B, intersegmental",0A/0B,73257919017667138,648518346477866647,[ 35448 121112   3703]
30,2612,2023-07-22 01:03:59.710552+00:00,,t,"T1L, local",12B,72554162789181553,648518346489847311,[ 16080 120808   3534]
31,2613,2023-07-22 01:03:59.731407+00:00,,t,"T1L, intersegmental",12B,72554162789181553,648518346489847311,[ 16080 120808   3534]
32,2620,2023-07-22 01:03:59.875928+00:00,,t,"T1L, ascending, intersegmental",12B,73398519067037574,648518346486741892,[ 40160 118608   3705]
33,2610,2023-07-22 01:03:59.670273+00:00,,t,"T1L, local",1B,72553544380983819,648518346518024040,[ 14720 100368   3694]
34,2706,2024-01-31 04:45:37.971061+00:00,,t,"T1L, ascending, intersegmental",10B,73186587865015110,648518346501389453,[34768 92792  2998]
35,2707,2024-01-31 04:45:37.971672+00:00,,t,"T1L, intersegmental",14A,73468131762542169,648518346501201308,[42720 94440  3395]
36,2705,2024-01-31 04:45:37.970441+00:00,,t,"T1L, ascending, intersegmental",7B,73116012828428043,648518346499757799,[32264 87912  2818]
37,2625,2023-07-22 01:03:59.985077+00:00,,t,"T1L, local",14A,73397762951537277,648518346509037119,[39224 94472  3336]
38,2614,2023-07-22 01:03:59.752826+00:00,,t,"T1L, ascending",12B,72765269155907876,648518346477888526,[ 20744 120528   3782]
39,2607,2023-07-22 01:03:59.604788+00:00,,t,"T3L, ascending, intersegmental",8B,74034103762427563,648518346495560374,[ 59008 186136    330]
40,2615,2023-07-22 01:03:59.772380+00:00,,t,"T1L, local",12B,72765337741251238,648518346504230862,[ 21782 122291   3554]
41,2616,2023-07-22 01:03:59.794035+00:00,,t,"T1L, ascending, intersegmental",12B,72835500528056479,648518346491114157,[ 23896 115368   3854]
42,2500,2023-02-26 21:25:08.757829+00:00,,t,"T1L, local",9A,73186450023479587,648518346509188474,[33696 89584  2228]
43,2590,2023-07-22 01:03:59.252371+00:00,,t,"T1L, ascending, intersegmental",8B,73186587663812879,648518346492790969,[32784 92568  2657]
44,2622,2023-07-22 01:03:59.919518+00:00,,t,"T1R, intersegmental",12B,73609694153370160,648518346480424614,[ 45904 120616   3968]
45,2686,2024-01-31 04:45:37.958239+00:00,,t,fragment,fragment,72342438215267258,648518346496291430,[  9949 101720   3740]
46,2717,2024-01-31 04:45:37.978679+00:00,,t,"T1R, ascending, intersegmental",unknown,73469025384283216,648518346499804135,[ 42256 122816   3898]
47,2684,2024-01-31 04:10:59.097713+00:00,,t,"T2R, local",9A,74032180959340184,648518346459644932,[ 58544 127192   2923]
